地區,研究所以上,大專院校,高中職,高中職以下學歷
台北,119,87,15,1
新北市,77,149,97,28
宜蘭縣,12,97,53,40
桃園縣,70,122,97,14
新竹市,25,36,47,19
新竹縣,15,108,52,30
苗栗縣,7,99,104,55
台中市,47,193,170,31
彰化縣,23,112,156,66
南投縣,22,68,93,34
雲林縣,14,87,132,45
嘉義縣,9,64,136,36
嘉義市,8,43,39,6
台南市,39,173,148,58
高雄市,91,176,126,49
屏東縣,27,169,143,45
台東縣,6,84,86,29
花蓮縣,21,94,79,12
澎湖縣,7,27,41,31
基隆市,34,66,33,7
金門,9,37,40,23
連江,1,15,31,11
