Year,研究所以上,大專院校,高中職,高中職以下學歷
1998,50.00,50.00,0.00,0.00
2002,50.00,50.00,0.00,0.00
2006,50.00,50.00,0.00,0.00
2010,60.00,40.00,0.00,0.00
