Year,研究所以上,大專院校,高中職,高中職以下學歷
1998,3.24,34.34,45.08,17.34
2002,12.35,38.83,36.14,12.68
2005,12.18,41.20,32.67,13.95
2009,11.49,39.36,34.80,14.36
